source,target,kind,weight,similarity,distance
anl4_afv4_eps_mean,anl4_afv4_median_eps,near,0.9870070219039917,0.9870070219039917,0.0129929780960083
anl4_afv4_eps_mean,earnings_per_share_average,near,0.9521095752716064,0.9521095752716064,0.047890424728393555
anl4_afv4_eps_mean,earnings_per_share_median_value,near,0.9475741386413574,0.9475741386413574,0.05242586135864258
anl4_afv4_eps_mean,earnings_per_share_maximum,near,0.9390752911567688,0.9390752911567688,0.0609247088432312
anl4_afv4_eps_mean,ebit_reported_value,near,0.9040299654006958,0.9040299654006958,0.0959700345993042
anl4_afv4_eps_mean,net_profit_reported_value,near,0.9038328528404236,0.9038328528404236,0.09616714715957642
anl4_afv4_eps_mean,pretax_income_standalone_value,near,0.9032597541809082,0.9032597541809082,0.0967402458190918
anl4_afv4_eps_mean,ebitda_reported_value,near,0.9000853300094604,0.9000853300094604,0.09991466999053955
anl4_afv4_eps_mean,fnd6_dltp,far,0.9028985276818275,0.09710147231817245,0.9028985276818275
anl4_afv4_eps_mean,tangible_book_value_per_share_max_guidance,far,0.8982481509447098,0.10175184905529022,0.8982481509447098
anl4_afv4_eps_mean,dividend,far,0.8981029540300369,0.10189704596996307,0.8981029540300369
anl4_afv4_eps_mean,fnd6_lqpl1,near,0.6310850977897644,0.6310850977897644,0.3689149022102356
anl4_afv4_eps_number,sales_estimate_count_2,near,0.9107676148414612,0.9107676148414612,0.08923238515853882
anl4_afv4_eps_number,est_cashflow_fin,near,0.7577145099639893,0.7577145099639893,0.24228549003601074
anl4_afv4_eps_number,ebitda_reported_value,near,0.7534828186035156,0.7534828186035156,0.24651718139648438
anl4_afv4_eps_number,ebit_reported_value,near,0.752345621585846,0.752345621585846,0.24765437841415405
anl4_afv4_eps_number,fnd6_newa1v1300_ebit,near,0.7522505521774292,0.7522505521774292,0.2477494478225708
anl4_afv4_eps_number,ebit,near,0.7522313594818115,0.7522313594818115,0.24776864051818848
anl4_afv4_eps_number,fnd6_cptnewqv1300_oiadpq,near,0.7506447434425354,0.7506447434425354,0.2493552565574646
